0, 0
0.06284, 0.062799
0.12568, 0.12535
0.18852, 0.18741
0.25136, 0.24872
0.3142, 0.30906
0.37704, 0.36817
0.43988, 0.42583
0.50272, 0.48181
0.56556, 0.53589
0.6284, 0.58785
0.69124, 0.63749
0.75408, 0.68462
0.81692, 0.72904
0.87976, 0.77059
0.9426, 0.80909
1.0054, 0.8444
1.0683, 0.87637
1.1311, 0.90489
1.194, 0.92983
1.2568, 0.95111
1.3196, 0.96863
1.3825, 0.98232
1.4453, 0.99214
1.5082, 0.99804
1.571, 1
1.6338, 0.99801
1.6967, 0.99209
1.7595, 0.98224
1.8224, 0.96852
1.8852, 0.95098
1.948, 0.92968
2.0109, 0.90472
2.0737, 0.87618
2.1366, 0.84418
2.1994, 0.80885
2.2622, 0.77033
2.3251, 0.72876
2.3879, 0.68432
2.4508, 0.63718
2.5136, 0.58752
2.5764, 0.53554
2.6393, 0.48145
2.7021, 0.42546
2.765, 0.36779
2.8278, 0.30867
2.8906, 0.24833
2.9535, 0.18701
3.0163, 0.12495
3.0792, 0.062392
3.142, -0.00040735
3.2048, -0.063205
3.2677, -0.12575
3.3305, -0.18781
3.3934, -0.24912
3.4562, -0.30944
3.519, -0.36855
3.5819, -0.4262
3.6447, -0.48217
3.7076, -0.53623
3.7704, -0.58818
3.8332, -0.63781
3.8961, -0.68492
3.9589, -0.72932
4.0218, -0.77085
4.0846, -0.80933
4.1474, -0.84462
4.2103, -0.87657
4.2731, -0.90506
4.336, -0.92998
4.3988, -0.95123
4.4616, -0.96873
4.5245, -0.9824
4.5873, -0.99219
4.6502, -0.99806
4.713, -1
4.7758, -0.99799
4.8387, -0.99204
4.9015, -0.98217
4.9644, -0.96842
5.0272, -0.95085
5.09, -0.92953
5.1529, -0.90454
5.2157, -0.87598
5.2786, -0.84396
5.3414, -0.80861
5.4042, -0.77007
5.4671, -0.72848
5.5299, -0.68402
5.5928, -0.63687
5.6556, -0.58719
5.7184, -0.5352
5.7813, -0.4811
5.8441, -0.42509
5.907, -0.36741
5.9698, -0.30828
6.0326, -0.24793
6.0955, -0.18661
6.1583, -0.12454
6.2212, -0.061986
